COD_ESCOLA,AFDG1,AFDG2,AFDG3,AFDG4,AFDG5,ATU_TOTAL,DSU_TOTAL,ICG_ESCOLA,NIVEL1,NIVEL2,NIVEL3,NIVEL4,NIVEL5,NIVEL6,IRD_ESCOLA,TDI_TOTAL,TAPROV,TREPROV
26133949,36.80,0.00,55.60,0.00,7.60,34.60,93.80,"Nível 2",0.00,24.90,43.80,31.30,0.00,0.00,3.60,7.40,100.00,0.00
26133974,36.80,0.00,54.70,8.50,0.00,30.40,100.00,"Nível 5",0.00,0.00,11.10,50.00,33.30,5.60,2.80,41.10,95.20,4.50
26133985,33.90,8.30,57.80,0.00,0.00,30.80,100.00,"Nível 2",0.00,28.70,57.10,7.10,7.10,0.00,3.20,17.00,92.70,7.30
26134085,38.50,0.00,61.50,0.00,0.00,33.40,100.00,"Nível 2",0.00,35.30,47.10,17.60,0.00,0.00,3.60,14.40,83.50,13.00
26134213,40.70,0.00,42.00,6.20,11.10,26.50,85.20,"Nível 5",0.00,0.00,18.50,51.90,22.20,7.40,3.90,67.00,75.40,24.00
26134332,26.20,7.70,50.80,7.70,7.60,34.60,92.30,"Nível 5",0.00,0.00,0.00,38.40,46.20,15.40,3.20,5.20,97.10,2.90
26135400,54.20,0.00,44.90,0.00,0.90,31.30,92.90,"Nível 3",7.10,14.30,28.60,14.30,28.60,7.10,3.10,26.10,97.30,2.70
26135465,63.90,0.00,19.40,0.00,16.70,28.00,83.30,"Nível 4",0.00,8.30,25.00,41.70,8.30,16.70,3.70,9.50,97.50,1.30
26135490,82.10,0.00,9.40,3.40,5.10,32.20,94.10,"Nível 4",0.00,8.80,55.90,23.50,11.80,0.00,4.20,2.80,96.80,2.60
26135555,46.40,3.60,46.40,3.60,0.00,30.30,100.00,"Nível 6",0.00,0.00,19.00,47.60,28.60,4.80,3.20,31.30,92.70,7.30
26135811,71.00,0.00,23.40,5.60,0.00,15.70,100.00,"Nível 3",0.00,0.00,3.80,73.10,7.70,15.40,4.30,10.60,93.30,6.70
26136455,52.80,0.00,38.90,0.00,8.30,32.00,90.90,"Nível 4",0.00,36.30,36.40,18.20,9.10,0.00,3.50,17.70,96.70,3.30
26136460,66.10,0.00,33.90,0.00,0.00,43.20,100.00,"Nível 2",0.00,0.00,79.20,20.80,0.00,0.00,4.20,11.60,98.30,1.70
26136489,52.80,0.00,44.30,2.90,0.00,31.00,100.00,"Nível 4",0.00,14.40,35.70,21.40,21.40,7.10,3.50,24.70,91.60,8.40
26137149,49.20,0.00,50.80,0.00,0.00,33.00,100.00,"Nível 4",0.00,0.00,18.20,63.60,0.00,18.20,3.20,13.90,80.90,19.10
26137171,42.90,0.00,21.40,0.00,35.70,17.70,63.60,"Nível 4",0.00,9.10,63.60,9.10,9.10,9.10,2.90,9.40,92.60,7.40
26137190,45.80,11.90,28.80,0.00,13.50,27.20,92.30,"Nível 5",0.00,0.00,23.10,46.20,19.20,11.50,3.80,12.20,91.80,8.20
26137255,63.60,0.00,35.10,0.00,1.30,30.30,93.30,"Nível 4",0.00,6.70,6.70,53.30,13.30,20.00,NULL,5.50,99.40,0.60
26137631,61.50,1.90,17.30,11.50,7.80,36.50,92.00,"Nível 3",0.00,8.00,44.00,40.00,4.00,4.00,3.10,2.30,96.30,3.70
26137950,50.00,0.00,41.70,0.00,8.30,35.70,92.30,"Nível 2",0.00,0.00,15.40,53.80,30.80,0.00,2.70,9.80,91.30,7.70
26137968,57.40,0.00,23.80,0.00,18.80,36.80,82.80,"Nível 2",0.00,6.90,41.40,20.70,17.20,13.80,3.80,5.00,95.00,4.50
26138328,84.90,2.70,2.70,9.70,0.00,20.10,100.00,"Nível 5",0.00,12.50,37.50,50.00,0.00,0.00,3.00,NULL,86.30,13.70
26138565,46.90,0.00,25.00,9.40,18.70,49.30,71.40,"Nível 4",0.00,0.00,14.30,57.10,28.60,0.00,NULL,6.80,96.60,3.40
26138590,46.70,0.00,26.70,20.00,6.60,41.30,88.90,"Nível 3",0.00,0.00,77.80,22.20,0.00,0.00,NULL,14.50,92.20,7.80
26138611,78.70,0.00,14.70,0.00,6.60,30.60,87.50,"Nível 4",0.00,0.00,24.90,68.80,6.30,0.00,4.10,5.20,98.00,2.00
26138875,29.20,18.60,35.40,13.30,3.50,29.90,94.10,"Nível 4",0.00,23.50,23.50,47.10,0.00,5.90,4.00,7.50,88.70,11.30
26139081,17.10,0.00,65.70,0.00,17.20,31.70,83.30,"Nível 2",0.00,0.00,66.70,33.30,0.00,0.00,4.10,38.90,100.00,0.00
26139120,30.90,0.00,69.10,0.00,0.00,16.40,100.00,"Nível 3",0.00,0.00,71.40,14.30,14.30,0.00,3.60,44.30,98.10,1.90
26139146,50.00,8.30,0.00,33.30,8.40,16.00,88.90,"Nível 3",11.10,0.00,33.30,55.60,0.00,0.00,2.50,18.80,93.80,6.20
26139480,75.00,17.00,1.00,7.00,0.00,29.60,100.00,"Nível 4",1.80,18.20,32.70,45.50,1.80,0.00,3.70,NULL,76.60,16.70
26139618,62.80,3.90,13.30,15.50,4.50,27.70,94.90,"Nível 3",0.00,47.40,45.80,5.10,0.00,1.70,3.20,13.70,94.60,5.40
26139766,30.00,0.00,16.70,20.00,33.30,12.50,57.10,"Nível 4",7.30,0.00,21.40,57.10,7.10,7.10,3.20,4.00,100.00,0.00
26139839,36.40,0.00,18.20,0.00,45.40,36.30,50.00,"Nível 2",0.00,25.00,25.00,12.50,37.50,0.00,NULL,17.40,89.30,0.90
26140128,33.30,0.00,46.70,0.00,20.00,32.20,93.80,"Nível 4",6.10,18.80,37.50,31.30,0.00,6.30,2.70,80.40,74.20,25.80
26140144,35.40,0.00,45.00,0.00,19.60,34.60,82.60,"Nível 4",0.00,4.50,4.30,47.80,39.10,4.30,3.80,56.10,66.20,22.40
